"","X1","STATE.ABBREVIATION","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF.ELECTION.VOTES..LA.","GE.RUNOFF.ELECTION....LA.","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","GE.WINNER.INDICATOR","FOOTNOTES","X","year"
"529",530,"CA","California","46","H2CA46115","","Jorge","Rocha","Rocha, Jorge","","NOP","1,969","3.99%","","","","","","","","","","",NA,"2012"
"530",531,"CA","California","46","H2CA47097","","Pat ","Garcia","Garcia, Pat ","","R","1,852","3.75%","","","","","","","","","","",NA,"2012"
"533",534,"CA","California","47","H2CA00104","","Alan ","Lowenthal","Lowenthal, Alan ","","D","27,356","33.80%","","","130,093","56.56%","","","","","W","",NA,"2012"
"534",535,"CA","California","47","H2CA47105","","Gary","DeLong","DeLong, Gary","","R","23,831","29.44%","","","99,919","43.44%","","","","","","",NA,"2012"
"535",536,"CA","California","47","H2CA47113","","Steven T.","Kuykendall","Kuykendall, Steven T.","","R","8,769","10.83%","","","","","","","","","","",NA,"2012"
"536",537,"CA","California","47","H2CA38062","","Peter ","Mathews","Mathews, Peter ","","D","7,951","9.82%","","","","","","","","","","",NA,"2012"
"537",538,"CA","California","47","H2CA47147","","Steve","Foley","Foley, Steve","","R","5,848","7.23%","","","","","","","","","","",NA,"2012"
"538",539,"CA","California","47","H8CA32039","","Sanford W.","Kahn","Kahn, Sanford W.","","R","2,563","3.17%","","","","","","","","","","",NA,"2012"
"539",540,"CA","California","47","H2CA47154","","Usha","Shah","Shah, Usha","","D","2,350","2.90%","","","","","","","","","","",NA,"2012"
"540",541,"CA","California","47","H0CA00074","","Jay","Shah","Shah, Jay","","D","2,273","2.81%","","","","","","","","","","",NA,"2012"
"543",544,"CA","California","48","H8CA42061","(I)","Dana","Rohrabacher","Rohrabacher, Dana","","R","73,302","66.30%","","","177,144","60.98%","","","","","W","",NA,"2012"
"544",545,"CA","California","48","H2CA48095","","Ron ","Varasteh","Varasteh, Ron ","","D","31,912","28.86%","","","113,358","39.02%","","","","","","",NA,"2012"
"545",546,"CA","California","48","H2CA48103","","Alan ","Schlar","Schlar, Alan ","","NOP","5,355","4.84%","","","","","","","","","","",NA,"2012"
"548",549,"CA","California","49","H0CA48024","(I)","Darrell","Issa","Issa, Darrell","","R","71,329","61.09%","","","159,725","58.16%","","","","","W","",NA,"2012"
"549",550,"CA","California","49","H2CA49218","","Jerry ","Tetalman","Tetalman, Jerry ","","D","35,816","30.68%","","","114,893","41.84%","","","","","","",NA,"2012"
"550",551,"CA","California","49","H2CA49226","","Dick ","Eiden","Eiden, Dick ","","NOP","7,988","6.84%","","","","","","","","","","",NA,"2012"
"551",552,"CA","California","49","H2CA49234","","Albin","Novinec","Novinec, Albin","","NOP","1,626","1.39%","","","","","","","","","","",NA,"2012"
"554",555,"CA","California","50","H8CA52052","(I)","Duncan D. ","Hunter","Hunter, Duncan D. ","","R","76,818","67.41%","","","174,838","67.69%","","","","","W","",NA,"2012"
"555",556,"CA","California","50","H2CA50158","","David B.","Secor","Secor, David B.","","D","19,142","16.80%","","","83,455","32.31%","","","","","","",NA,"2012"
"556",557,"CA","California","50","H6CA52098","","Connie ","Frankowiak","Frankowiak, Connie ","","D","8,553","7.51%","","","","","","","","","","",NA,"2012"
"557",558,"CA","California","50","H0CA52018","","Michael","Benoit","Benoit, Michael","","LIB","6,160","5.41%","","","","","","","","","","",NA,"2012"
"558",559,"CA","California","50","H0CA52034","","Terri","Linnell","Linnell, Terri","","R","3,275","2.87%","","","","","","","","","","",NA,"2012"
"561",562,"CA","California","51","H2CA50026","","Juan","Vargas","Vargas, Juan","","D","30,143","46.02%","","","113,934","71.48%","","","","","W","",NA,"2012"
"562",563,"CA","California","51","H8CA53019","","Michael","Crimmins","Crimmins, Michael","","R","13,016","19.87%","","","45,464","28.52%","","","","","","",NA,"2012"
"563",564,"CA","California","51","H2CA51164","","Denise Moreno","Ducheny","Ducheny, Denise Moreno","","D","10,107","15.43%","","","","","","","","","","",NA,"2012"
"564",565,"CA","California","51","H2CA51180","","Xanthi ","Gionis","Gionis, Xanthi ","","R","4,487","6.85%","","","","","","","","","","",NA,"2012"
"565",566,"CA","California","51","H2CA51172","","John ","Brooks","Brooks, John ","","D","3,290","5.02%","","","","","","","","","","",NA,"2012"
"566",567,"CA","California","51","H2CA51131","","Daniel C. ""Danny""","Ramirez","Ramirez, Daniel C. ""Danny""","","D","2,794","4.27%","","","","","","","","","","",NA,"2012"
"567",568,"CA","California","51","H2CA51198","","Bernard","Portley","Portley, Bernard","","R","1,667","2.54%","","","","","","","","","","",NA,"2012"
"570",571,"CA","California","52","H2CA52089","","Scott","Peters","Peters, Scott","","D","34,106","22.59%","","","151,451","51.18%","","","","","W","",NA,"2012"
"571",572,"CA","California","52","H4CA49032","(I)","Brian ","Bilbray","Bilbray, Brian ","","R","61,930","41.02%","","","144,459","48.82%","","","","","","",NA,"2012"
"572",573,"CA","California","52","H2CA52063","","Lori ","Saldaña","Saldaña, Lori ","","D","33,387","22.11%","","","","","","","","","","",NA,"2012"
"573",574,"CA","California","52","H2CA52105","","Jack ","Doyle","Doyle, Jack ","","NOP","6,138","4.07%","","","","","","","","","","",NA,"2012"
"574",575,"CA","California","52","H2CA50141","","John K.","Stahl","Stahl, John K.","","R","5,502","3.64%","","","","","","","","","","",NA,"2012"
"575",576,"CA","California","52","H2CA52071","","Wayne ","Iverson","Iverson, Wayne ","","R","4,476","2.96%","","","","","","","","","","",NA,"2012"
"576",577,"CA","California","52","H2CA52097","","Shirley ","Decourt-Park","Decourt-Park, Shirley ","","D","2,368","1.57%","","","","","","","","","","",NA,"2012"
"577",578,"CA","California","52","H2CA52139","","Ehab T.","Shehata","Shehata, Ehab T.","","NOP","1,156","0.77%","","","","","","","","","","",NA,"2012"
"578",579,"CA","California","52","H2CA52121","","John L. ","Subka","Subka, John L. ","","R","1,091","0.72%","","","","","","","","","","",NA,"2012"
"579",580,"CA","California","52","H2CA52113","","Gene Hamilton","Carswell","Carswell, Gene Hamilton","","R","828","0.55%","","","","","","","","","","",NA,"2012"
"582",583,"CA","California","53","H0CA49055","(I)","Susan A.","Davis","Davis, Susan A.","","D","70,462","57.81%","","","164,825","61.43%","","","","","W","",NA,"2012"
"583",584,"CA","California","53","H0CA51036","","Nick ","Popaditch","Popaditch, Nick ","","R","51,423","42.19%","","","103,482","38.57%","","","","","","",NA,"2012"
"584",585,"CA","California","53","H4CA53042","","Joel A.","Marchese","Marchese, Joel A.","","W(R)","7","0.01%","","","","","","","","","","",NA,"2012"
"590",591,"CA","California","S","S0CA00199","(I)","Dianne","Feinstein","Feinstein, Dianne","","D","2,392,822","49.29%","","","7,864,624","62.52%","","","","","W","",NA,"2012"
"591",592,"CA","California","S","S2CA00641","","Elizabeth","Emken","Emken, Elizabeth","","R","613,613","12.64%","","","4,713,887","37.48%","","","","","","",NA,"2012"
"592",593,"CA","California","S","S2CA00682","","Dan","Hughes","Hughes, Dan","","R","323,840","6.67%","","","","","","","","","","",NA,"2012"
"593",594,"CA","California","S","S2CA00724","","Rick","Williams","Williams, Rick","","R","157,946","3.25%","","","","","","","","","","",NA,"2012"
"594",595,"CA","California","S","S2CA00633","","Orly","Taitz","Taitz, Orly","","R","154,781","3.19%","","","","","","","","","","",NA,"2012"
"595",596,"CA","California","S","S2CA00781 ","","Dennis","Jackson","Jackson, Dennis","","R","137,120","2.82%","","","","","","","","","","",NA,"2012"
"596",597,"CA","California","S","S2CA00740","","Greg","Conlon","Conlon, Greg","","R","135,421","2.79%","","","","","","","","","","",NA,"2012"
"597",598,"CA","California","S","S0CA00306","","Al","Ramirez","Ramirez, Al","","R","109,399","2.25%","","","","","","","","","","",NA,"2012"
"598",599,"CA","California","S","S8CA00283","","Gail K.","Lightfoot","Lightfoot, Gail K.","","LIB","101,648","2.09%","","","","","","","","","","",NA,"2012"
"599",600,"CA","California","S","S2CA00773","","Diane","Stewart","Stewart, Diane","","D","97,782","2.01%","","","","","","","","","","",NA,"2012"
"600",601,"CA","California","S","S2CA00732","","Mike","Strimling","Strimling, Mike","","D","97,024","2.00%","","","","","","","","","","",NA,"2012"
"601",602,"CA","California","S","S2CA00708","","David Alex","Levitt","Levitt, David Alex","","D","76,482","1.58%","","","","","","","","","","",NA,"2012"
"602",603,"CA","California","S","S2CA00765","","Oscar Alejandro","Braun","Braun, Oscar Alejandro","","R","75,842","1.56%","","","","","","","","","","",NA,"2012"
"603",604,"CA","California","S","S4CA00357","","Masha ","Feinland","Feinland, Masha ","","PAF","57,720","1.19%","","","","","","","","","","",NA,"2012"
"604",605,"CA","California","S","S2CA00690","","Robert ","Lauten","Lauten, Robert ","","R","56,524","1.16%","","","","","","","","","","",NA,"2012"
"605",606,"CA","California","S","S6CA00527","","Colleen Shea","Fernald","Fernald, Colleen Shea","","D","51,623","1.06%","","","","","","","","","","",NA,"2012"
"606",607,"CA","California","S","S2CA00799","","Donald","Krampe","Krampe, Donald","","R","39,035","0.80%","","","","","","","","","","",NA,"2012"
"607",608,"CA","California","S","S4CA00332","","Don J.","Grundmann","Grundmann, Don J.","","AIP","33,037","0.68%","","","","","","","","","","",NA,"2012"
"608",609,"CA","California","S","S2CA00625","","Dirk Allen","Konopik","Konopik, Dirk Allen","","R","29,997","0.62%","","","","","","","","","","",NA,"2012"
"609",610,"CA","California","S","S2CA00666","","John","Boruff","Boruff, John","","R","29,357","0.60%","","","","","","","","","","",NA,"2012"
"610",611,"CA","California","S","S2CA00757","","Nak","Shah","Shah, Nak","","D","27,203","0.56%","","","","","","","","","","",NA,"2012"
"611",612,"CA","California","S","S2CA00716","","Rogelio T.","Gloria","Gloria, Rogelio T.","","R","22,529","0.46%","","","","","","","","","","",NA,"2012"
"612",613,"CA","California","S","S2CA00807","","Nachum ","Shifren","Shifren, Nachum ","","R","21,762","0.45%","","","","","","","","","","",NA,"2012"
"613",614,"CA","California","S","S2CA00815 ","","Kabiruddin Karim","Ali","Ali, Kabiruddin Karim","","PAF","12,269","0.25%","","","","","","","","","","",NA,"2012"
"614",615,"CA","California","S","S2CA00831","","Linda R.","Price","Price, Linda R.","","W(R)","25","0.00%","","","","","","","","","","",NA,"2012"
"618",619,"CO","Colorado","01","H6CO01141","(I)","Diana","DeGette","DeGette, Diana","","D","37,072","100.00%","","","237,579","68.23%","","","","","W","",NA,"2012"
"620",621,"CO","Colorado","01","H2CO01124","","Danny","Stroud","Stroud, Danny","","R","11,936","65.07%","","","93,217","26.77%","","","","","","",NA,"2012"
"621",622,"CO","Colorado","01","H2CO01132","","Richard W.","Murphy","Murphy, Richard W.","","R","6,407","34.93%","","","","","","","","","","",NA,"2012"
"623",624,"CO","Colorado","01","H2CO01140","","Frank","Atwood","Atwood, Frank","","LIB","","","","","12,585","3.61%","","","","","","",NA,"2012"
"624",625,"CO","Colorado","01","H2CO02080","","Gary","Swing","Swing, Gary","","GRE","","","","","4,829","1.39%","","","","","","",NA,"2012"
"625",626,"CO","Colorado","01","H2CO01157","","Thomas Henry","Juniel","Juniel, Thomas Henry","","W","","","","","18","0.01%","","","","","","",NA,"2012"
"628",629,"CO","Colorado","02","H8CO02137","(I)","Jared","Polis","Polis, Jared","","D","36,097","100.00%","","","234,758","55.69%","","","","","W","",NA,"2012"
"630",631,"CO","Colorado","02","H2CO02148","","Kevin","Lundberg","Lundberg, Kevin","","R","21,547","53.29%","","","162,639","38.58%","","","","","","",NA,"2012"
"631",632,"CO","Colorado","02","H2CO02130","","Eric","Weissmann","Weissmann, Eric","","R","18,890","46.71%","","","","","","","","","","",NA,"2012"
"633",634,"CO","Colorado","02","H2CO02155","","Randy","Luallin","Luallin, Randy","","LIB","","","","","13,770","3.27%","","","","","","",NA,"2012"
"634",635,"CO","Colorado","02","H2CO02163","","Susan P.","Hall","Hall, Susan P.","","GRE","","","","","10,413","2.47%","","","","","","",NA,"2012"
"637",638,"CO","Colorado","03","H6CO03139","(I)","Scott R.","Tipton","Tipton, Scott R.","","R","48,465","100.00%","","","185,291","53.31%","","","","","W","",NA,"2012"
"639",640,"CO","Colorado","03","H2CO03138","","Sal","Pace","Pace, Sal","","D","33,970","100.00%","","","142,920","41.12%","","","","","","",NA,"2012"
"641",642,"CO","Colorado","03","H2CO03146","","Tisha T.","Casida","Casida, Tisha T.","","UN","","","","","11,125","3.20%","","","","","","",NA,"2012"
"642",643,"CO","Colorado","03","H0CO03116","","Gregory","Gilman","Gilman, Gregory","","LIB","166","60.58%","","","8,212","2.36%","","","","","","",NA,"2012"
"643",644,"CO","Colorado","03","H2CO03153","","Gaylon","Kent","Kent, Gaylon","","LIB","108","39.42%","","","","","","","","","","",NA,"2012"
"645",646,"CO","Colorado","03","H2CO03179","","Jaime","McMillan","McMillan, Jaime","","W","","","","","26","0.01%","","","","","","",NA,"2012"
"648",649,"CO","Colorado","04","H0CO04122","(I)","Cory","Gardner","Gardner, Cory","","R","49,340","100.00%","","","200,006","58.42%","","","","","W","",NA,"2012"
"650",651,"CO","Colorado","04","H2CO04094","","Brandon","Shaffer","Shaffer, Brandon","","D","20,671","100.00%","","","125,800","36.75%","","","","","","",NA,"2012"
"652",653,"CO","Colorado","04","H2CO04102","","Josh","Gilliland","Gilliland, Josh","","LIB","","","","","10,682","3.12%","","","","","","",NA,"2012"
"653",654,"CO","Colorado","04","H0CO04148","","Doug","Aden","Aden, Doug","","AMC","118","100.00%","","","5,848","1.71%","","","","","","",NA,"2012"
"658",659,"CO","Colorado","05","H6CO05159","(I)","Doug","Lamborn","Lamborn, Doug","","R","43,929","61.72%","","","199,639","64.98%","","","","","W","",NA,"2012"
"659",660,"CO","Colorado","05","H2CO05091","","Robert","Blaha","Blaha, Robert","","R","27,245","38.28%","","","","","","","","","","",NA,"2012"
"661",662,"CO","Colorado","05","H2CO05059","","Dave","Anderson","Anderson, Dave","","UN","","","","","53,318","17.35%","","","","","","",NA,"2012"
"662",663,"CO","Colorado","05","H2CO05067","","Jim","Pirtle","Pirtle, Jim","","LIB","","","","","22,778","7.41%","","","","","","",NA,"2012"
"663",664,"CO","Colorado","05","H2CO05117","","Misha","Luzov","Luzov, Misha","","GRE","","","","","18,284","5.95%","","","","","","",NA,"2012"
"664",665,"CO","Colorado","05","H2CO05109","","Kenneth R.","Harvell","Harvell, Kenneth R.","","AMC","129","100.00%","","","13,212","4.30%","","","","","","",NA,"2012"
"666",667,"CO","Colorado","05","H2CO05125","","George Allen","Cantrell","Cantrell, George Allen","","W","","","","","6","0.00%","","","","","","",NA,"2012"
"669",670,"CO","Colorado","06","H8CO06138","(I)","Mike","Coffman","Coffman, Mike","","R","35,721","100.00%","","","163,938","47.81%","","","","","W","",NA,"2012"
"671",672,"CO","Colorado","06","H2CO06123","","Joe","Miklosi","Miklosi, Joe","","D","22,938","100.00%","","","156,937","45.77%","","","","","","",NA,"2012"
"673",674,"CO","Colorado","06","H2CO06149","","Kathy","Polhemus","Polhemus, Kathy","","UN","","","","","13,442","3.92%","","","","","","",NA,"2012"
"674",675,"CO","Colorado","06","H2CO06156","","Patrick E.","Provost","Provost, Patrick E.","","LIB","","","","","8,597","2.51%","","","","","","",NA,"2012"
"677",678,"CO","Colorado","07","H6CO07023","(I)","Ed","Perlmutter","Perlmutter, Ed","","D","29,987","100.00%","","","182,460","53.51%","","","","","W","",NA,"2012"
"679",680,"CO","Colorado","07","H2CO07121","","Joe","Coors","Coors, Joe","","R","31,254","100.00%","","","139,066","40.79%","","","","","","",NA,"2012"
"681",682,"CO","Colorado","07","H2CO07147","","Douglas ""Dayhorse""","Campbell","Campbell, Douglas ""Dayhorse""","","AMC","79","100.00%","","","10,296","3.02%","","","","","","",NA,"2012"
"683",684,"CO","Colorado","07","H0CO07075","","Buck","Bailey","Bailey, Buck","","LIB","","","","","9,148","2.68%","","","","","","",NA,"2012"
"689",690,"CT","Connecticut","01","H8CT01046","(I)","John B.","Larson","Larson, John B.","","D*","*","","","","192,840","64.92%","","","206,973","69.67%","W","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"690",691,"CT","Connecticut","01","H8CT01046","(I)","John B.","Larson","Larson, John B.","","WF","","","","","14,133","4.76%","","","206,973","69.67%","W","",NA,"2012"
"691",692,"CT","Connecticut","01","H2CT01163","","John Henry","Decker","Decker, John Henry","","R*","*","","","","82,321","27.71%","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"692",693,"CT","Connecticut","01","H2CT01155","","Michael W.","McDonald","McDonald, Michael W.","","R","","","","","","","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"693",694,"CT","Connecticut","01","H2CT01171","","S. Michael","DeRosa","DeRosa, S. Michael","","GRE","","","","","5,477","1.84%","","","","","","",NA,"2012"
"694",695,"CT","Connecticut","01","H2CT01189","","Matthew M.","Corey","Corey, Matthew M.","","PC","","","","","2,290","0.77%","","","","","","",NA,"2012"
"697",698,"CT","Connecticut","02","H2CT02112","(I)","Joe ","Courtney","Courtney, Joe ","","D*","*","","","","189,444","63.16%","","","204,708","68.25%","W","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"698",699,"CT","Connecticut","02","H2CT02112","(I)","Joe ","Courtney","Courtney, Joe ","","WF","","","","","15,264","5.09%","","","204,708","68.25%","W","",NA,"2012"
"699",700,"CT","Connecticut","02","H2CT02146","","Paul M.","Formica","Formica, Paul M.","","R*","14,256","66.91%","","","88,103","29.37%","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"700",701,"CT","Connecticut","02","H0CT02140","","Daria","Novak","Novak, Daria","","R","7,050","33.09%","","","","","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"701",702,"CT","Connecticut","02","H0CT02165","","Doug","Dubitsky","Dubitsky, Doug","","R","","","","","","","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"702",703,"CT","Connecticut","02","H2CT02138","","Christopher D.","Coutu","Coutu, Christopher D.","","R","","","","","","","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"704",705,"CT","Connecticut","02","H2CT02153","","Colin D.","Bennett","Bennett, Colin D.","","GRE","","","","","3,638","1.21%","","","","","","",NA,"2012"
"705",706,"CT","Connecticut","02","H8CT02085","","Daniel J.","Reale","Reale, Daniel J.","","LIB","","","","","3,511","1.17%","","","","","","",NA,"2012"
"708",709,"CT","Connecticut","03","H0CT03072","(I)","Rosa L.","DeLauro","DeLauro, Rosa L.","","D*","*","","","","197,163","67.68%","","","217,573","74.69%","W","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"709",710,"CT","Connecticut","03","H0CT03072","(I)","Rosa L.","DeLauro","DeLauro, Rosa L.","","WF","","","","","20,410","7.01%","","","217,573","74.69%","W","",NA,"2012"
"710",711,"CT","Connecticut","03","H2CT05180","","Wayne","Winsley","Winsley, Wayne","","R*","*","","","","73,726","25.31%","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"711",712,"CT","Connecticut","03","H2CT03086","","Steve","Packard","Packard, Steve","","R","","","","","","","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"712",713,"CT","Connecticut","03","H2CT03094","","Hector W., Jr.","Concepcion","Concepcion, Hector W., Jr.","","W","","","","","1","0.00%","","","","","","",NA,"2012"
"713",714,"CT","Connecticut","03","H2CT03086","","Stephen ""Steve""","Packard","Packard, Stephen ""Steve""","","W","","","","","1","0.00%","","","","","","",NA,"2012"
"716",717,"CT","Connecticut","04 ","H8CT04172","(I)","Jim","Himes","Himes, Jim","","D*","*","","","","167,320","57.02%","","","175,929","59.96%","W","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"717",718,"CT","Connecticut","04 ","H8CT04172","(I)","Jim","Himes","Himes, Jim","","WF","","","","","8,609","2.93%","","","175,929","59.96%","W","",NA,"2012"
"718",719,"CT","Connecticut","04 ","H2CT04068","","Stephen","Obsitnik","Obsitnik, Stephen","","R*","*","","","","117,503","40.04%","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"719",720,"CT","Connecticut","04 ","H2CT04043","","Christopher D.","Meek","Meek, Christopher D.  #","","R","#","","","","","","","","","","","#  Christopher Meek qualified for the primary election, but withdrew on June 15, 2012.",NA,"2012"
"720",721,"CT","Connecticut","04","H2CT00033","","Richard","Wieland","Wieland, Richard","","R","","","","","","","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"721",722,"CT","Connecticut","04","H2CT04050","","David Scott","Orner","Orner, David Scott","","R","","","","","","","","","","","","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
"724",725,"CT","Connecticut","05","H2CT05131","","Elizabeth","Esty","Esty, Elizabeth","","WF","","","","","8,467","2.97%","","","146,098","51.31%","W","",NA,"2012"
"725",726,"CT","Connecticut","05","H2CT05131","","Elizabeth","Esty","Esty, Elizabeth","","D","12,717","44.60%","","","137,631","48.33%","","","146,098","51.31%","W","* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic conventions for candidates for the U.S. House of Representatives were held on May 14, 2012, and the Republican conventions were held on May 18, 2012.  The convention vote totals listed on the next tab were obtained from the state parties.  An asterisk denotes the party's endorsed candidate.",NA,"2012"
