"","STATE.ABBREVIATION","candidate.last","year","X","X1","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman"
"72","AL","Bailey",2012,40100,41,"Alabama","06","H2AL06142","","Penny ""Colonel""","Bailey, Penny ""Colonel""",NA,"D","5,061","61.05%","","","88,267","28.65%",1
"73","AL","Barber",2010,919,10,"Alabama","02","H0AL02103","","Rick","Barber, Rick",NA,"R","21,313","28.51%","26,091","39.98%","","",0
"74","AL","Barnes",2010,6310,64,"Alabama","S","S0AL00164","","William G.","Barnes, William G.",NA,"D","160,993","60.77%","","","515,619","34.71%",0
"75","AL","Barnes",2012,41,42,"Alabama","06","H2AL06159","","William","Barnes, William",NA,"D","3,229","38.95%","","","","",0
"76","AL","Barry",2008,35,36,"Alabama","05","H8AL05141","","George C.","Barry, George C.",NA,"R","2,274","5.99%","","","","",0
"77","AL","Beason",2012,3530,36,"Alabama","06","H2AL06126","","Scott","Beason, Scott",NA,"R","28,673","27.81%","","","","",0
"78","AL","Beason",2014,31100,32,"Alabama","06","H2AL06126","","Scott","Beason, Scott",NA,"R","14,451","15.29%","","","","",0
"79","AL","Bell",2010,108,11,"Alabama","02","H0AL02111","","Stephanie","Bell, Stephanie",NA,"R","13,797","18.46%","","","","",1
"80","AL","Boman",2012,21,22,"Alabama","04","H2AL04055","","Daniel H.","Boman, Daniel H.",NA,"D","10,971","51.45%","","","69,706","25.90%",0
"81","AL","Bonner",2008,1,2,"Alabama","01","H2AL01077","(I)","Jo","Bonner, Jo",NA,"R","Unopposed","","","","210,660","98.27%",0
"82","AL","Bonner",2010,114,2,"Alabama","01","H2AL01077","(I)","Jo","Bonner, Jo",NA,"R","56,937","75.25%","","","129,063","82.58%",0
"83","AL","Bonner",2012,2110,3,"Alabama","01","H2AL01077","(I)","Jo","Bonner, Jo",NA,"R","48,702","55.55%","","","196,374","97.86%",0
"84","AL","Bozeman",2010,472,48,"Alabama","07","H0AL00016","","Martha","Bozeman, Martha",NA,"D","6,672","7.79%","","","","",1
"85","AL","Bray",2014,25,26,"Alabama","05","H4AL05082","","Mark","Bray, Mark",NA,"IND","","","","","39,005","25.17%",0
"86","AL","Bright",2008,5,6,"Alabama","02","H8AL02130","","Bobby","Bright, Bobby",NA,"D","19,456","66.64%","","","144,368","50.23%",0
"87","AL","Bright",2010,1332,14,"Alabama","02","H8AL02130","(I)","Bobby","Bright, Bobby",NA,"D","Unopposed","","","","106,865","48.79%",0
"88","AL","Brooke",2014,3363,34,"Alabama","06","H4AL06106","","Will","Brooke, Will",NA,"R","13,130","13.89%","","","","",0
"89","AL","Brooks",2010,26,27,"Alabama","05","H0AL05163","","Mo","Brooks, Mo",NA,"R","35,746","50.81%","","","131,109","57.89%",0
"90","AL","Brooks",2012,2711,28,"Alabama","05","H0AL05163","(I)","Mo","Brooks, Mo",NA,"R","65,163","70.94%","","","189,185","64.95%",0
