"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","FOOTNOTES","X","X.1","X.2","year"
"132",133,"Arizona","AZ","01","H2AZ01149","","Sydney","Hay","Hay, Sydney","","R","16,328","22.87%","","","","","","","","",NA,NA,"2010"
"133",134,"Arizona","AZ","01","H0AZ01267","","Bradley","Beauchamp","Beauchamp, Bradley","","R","11,356","15.91%","","","","","","","","",NA,NA,"2010"
"134",135,"Arizona","AZ","01","H0AZ01275","","Russell ""Rusty""","Bowers","Bowers, Russell ""Rusty""","","R","10,552","14.78%","","","","","","","","",NA,NA,"2010"
"135",136,"Arizona","AZ","01","H0AZ01283","","Steve","Mehta","Mehta, Steve","","R","5,846","8.19%","","","","","","","","",NA,NA,"2010"
"136",137,"Arizona","AZ","01","H0AZ01309","","Thomas J.","Zaleski","Zaleski, Thomas J.","","R","2,105","2.95%","","","","","","","","",NA,NA,"2010"
"137",138,"Arizona","AZ","01","H0AZ01317","","Jon","Jensen","Jensen, Jon","","R","1,736","2.43%","","","","","","","","",NA,NA,"2010"
"138",139,"Arizona","AZ","01","H0AZ01291","","Joe","Jaraczewski","Jaraczewski, Joe","","R","1,530","2.14%","","","","","","","","",NA,NA,"2010"
"140",141,"Arizona","AZ","01","H8AZ01104","(I)","Ann","Kirkpatrick","Kirkpatrick, Ann","","D","46,902","100.00%","","","99,233","43.73%","","","","",NA,NA,"2010"
"142",143,"Arizona","AZ","01","H0AZ01341","","Nicole","Patti","Patti, Nicole","","W(LIB)/LIB","23","100.00%","","","14,869","6.55%","","","","",NA,NA,"2010"
"146",147,"Arizona","AZ","02","H4AZ04024","(I)","Trent","Franks","Franks, Trent","","R","81,252","80.87%","","","173,173","64.88%","","","","",NA,NA,"2010"
"147",148,"Arizona","AZ","02","H0AZ02141","","Charles","Black","Black, Charles","","R","19,220","19.13%","","","","","","","","",NA,NA,"2010"
"149",150,"Arizona","AZ","02","H6AZ02155","","John","Thrasher","Thrasher, John","","D","32,503","100.00%","","","82,891","31.06%","","","","",NA,NA,"2010"
"151",152,"Arizona","AZ","02","H4AZ02119","","Powell","Gammill","Gammill, Powell","","LIB","318","100.00%","","","10,820","4.05%","","","","",NA,NA,"2010"
"153",154,"Arizona","AZ","02","H6AZ00027","","Crum ","William","William, Crum ","","W","","","","","8","0.00%","","","","",NA,NA,"2010"
"157",158,"Arizona","AZ","03","H0AZ03362","","Ben","Quayle","Quayle, Ben","","R","17,400","22.05%","","","108,689","52.24%","","","","",NA,NA,"2010"
"158",159,"Arizona","AZ","03","H0AZ03396","","Steve","Moak","Moak, Steve","","R","14,211","18.01%","","","","","","","","",NA,NA,"2010"
"159",160,"Arizona","AZ","03","H0AZ03313","","Jim","Waring","Waring, Jim","","R","13,850","17.55%","","","","","","","","",NA,NA,"2010"
"160",161,"Arizona","AZ","03","H0AZ03321","","Vernon B.","Parker","Parker, Vernon B.","","R","13,411","17.00%","","","","","","","","",NA,NA,"2010"
"161",162,"Arizona","AZ","03","H0AZ03339","","Pamela","Gorman","Gorman, Pamela","","R","6,473","8.20%","","","","","","","","",NA,NA,"2010"
"162",163,"Arizona","AZ","03","H0AZ03354","","Paulina","Morris","Morris, Paulina","","R","6,138","7.78%","","","","","","","","",NA,NA,"2010"
"163",164,"Arizona","AZ","03","H0AZ03347","","Sam","Crump","Crump, Sam","","R","3,886","4.92%","","","","","","","","",NA,NA,"2010"
"164",165,"Arizona","AZ","03","H8AZ03126","","Ed","Winkler","Winkler, Ed","","R","1,353","1.71%","","","","","","","","",NA,NA,"2010"
"165",166,"Arizona","AZ","03","H0AZ03388","","Bob","Branch","Branch, Bob","","R","1,141","1.45%","","","","","","","","",NA,NA,"2010"
"166",167,"Arizona","AZ","03","H0AZ03370","","Leann","Hull","Hull, Leann","","R","1,044","1.32%","","","","","","","","",NA,NA,"2010"
"168",169,"Arizona","AZ","03","H0AZ03305","","Jon","Hulburd","Hulburd, Jon","","D","27,388","100.00%","","","85,610","41.14%","","","","",NA,NA,"2010"
"170",171,"Arizona","AZ","03","H8AZ03134","","Michael","Shoen","Shoen, Michael","","LIB","392","99.75%","","","10,478","5.04%","","","","",NA,NA,"2010"
"171",172,"Arizona","AZ","03","H0AZ03446 ","","Clay","Adair","Adair, Clay","","W(LIB)","1","0.25%","","","","","","","","",NA,NA,"2010"
"173",174,"Arizona","AZ","03","H0AZ03438","","Leonard ","Clark","Clark, Leonard ","","W(GRE)/GRE","5","100.00%","","","3,294","1.58%","","","","",NA,NA,"2010"
"177",178,"Arizona","AZ","04","H2AZ02055","(I)","Ed","Pastor","Pastor, Ed","","D","24,613","100.00%","","","61,524","66.94%","","","","",NA,NA,"2010"
"179",180,"Arizona","AZ","04","H0AZ04493","","Janet","Contreras","Contreras, Janet","","R","8,085","60.10%","","","25,300","27.53%","","","","",NA,NA,"2010"
