"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","FOOTNOTES","X","X.1","X.2","year"
"1605",1606,"Illinois","IL","14","H0IL14056","","Ethan A.","Hastert","Hastert, Ethan A.","","R","28,840","45.29%","","","","","","","","",NA,NA,"2010"
"1607",1608,"Illinois","IL","14","H8IL14067","(I)","Bill","Foster","Foster, Bill","","D","25,446","100.00%","","","98,645","45.04%","","","","",NA,NA,"2010"
"1608",1609,"Illinois","IL","14","H0IL14122","","Bobby G. ","Rose","Rose, Bobby G. ","","W(DEM)","1","0.00%","","","","","","","","",NA,NA,"2010"
"1610",1611,"Illinois","IL","14","H0IL14114 ","","Daniel J.","Kairis","Kairis, Daniel J.","","GRE","268","100.00%","","","7,949","3.63%","","","","",NA,NA,"2010"
"1612",1613,"Illinois","IL","14","H0IL14130","","Doug","Marks","Marks, Doug","","W","","","","","50","0.02%","","","","",NA,NA,"2010"
"1615",1616,"Illinois","IL","15","H0IL15053","(I)","Timothy V.","Johnson","Johnson, Timothy V.","","R","68,621","100.00%","","","136,915","64.32%","","","","",NA,NA,"2010"
"1617",1618,"Illinois","IL","15","H4IL15055","","David","Gill","Gill, David","","D","21,617","100.00%","","","75,948","35.68%","","","","",NA,NA,"2010"
"1621",1622,"Illinois","IL","16","H0IL16085","(I)","Donald A.","Manzullo","Manzullo, Donald A.","","R","54,060","100.00%","","","138,299","65.00%","","","","",NA,NA,"2010"
"1623",1624,"Illinois","IL","16","H0IL16168","","George W.","Gaulrapp","Gaulrapp, George W.","","D","18,021","100.00%","","","66,037","31.04%","","","","",NA,NA,"2010"
"1625",1626,"Illinois","IL","16","H0IL16176 ","","Terry G.","Campbell","Campbell, Terry G.","","GRE","295","100.00%","","","8,425","3.96%","","","","",NA,NA,"2010"
"1629",1630,"Illinois","IL","17","H0IL17059","","Bobby","Schilling","Schilling, Bobby","","R","33,659","100.00%","","","104,583","52.58%","","","","",NA,NA,"2010"
"1631",1632,"Illinois","IL","17","H6IL17155","(I)","Phil","Hare","Hare, Phil","","D","34,427","100.00%","","","85,454","42.96%","","","","",NA,NA,"2010"
"1633",1634,"Illinois","IL","17","H0IL17067 ","","Roger K.","Davis","Davis, Roger K.","","GRE","219","100.00%","","","8,861","4.46%","","","","",NA,NA,"2010"
"1637",1638,"Illinois","IL","18","H8IL18043","(I)","Aaron","Schock","Schock, Aaron","","R","60,653","100.00%","","","152,868","69.12%","","","","",NA,NA,"2010"
"1639",1640,"Illinois","IL","18","H0IL18057","","Deirdre ""DK""","Hirner","Hirner, Deirdre ""DK""","","D","13,683","54.19%","","","57,046","25.79%","","","","",NA,NA,"2010"
"1640",1641,"Illinois","IL","18","H0IL18040","","Carl","Ray","Ray, Carl","","D","11,566","45.81%","","","","","","","","",NA,NA,"2010"
"1642",1643,"Illinois","IL","18","H8IL18084","","Sheldon","Schafer","Schafer, Sheldon","","GRE","258","100.00%","","","11,256","5.09%","","","","",NA,NA,"2010"
"1646",1647,"Illinois","IL","19","H2IL20042","(I)","John M.","Shimkus","Shimkus, John M.","","R","48,680","85.34%","","","166,166","71.22%","","","","",NA,NA,"2010"
"1647",1648,"Illinois","IL","19","H0IL19048","","Michael","Firsching","Firsching, Michael","","R","8,363","14.66%","","","","","","","","",NA,NA,"2010"
"1649",1650,"Illinois","IL","19","H4IL19073","","Tim","Bagwell","Bagwell, Tim","","D","30,999","100.00%","","","67,132","28.78%","","","","",NA,NA,"2010"
"1655",1656,"Illinois","IL","S - FULL TERM","S0IL00261","","Mark Steven","Kirk","Kirk, Mark Steven","","R","420,373","56.63%","","","1,778,698","48.01%","","","","",NA,NA,"2010"
"1656",1657,"Illinois","IL","S - FULL TERM","S0IL00303","","Patrick J.","Hughes","Hughes, Patrick J.","","R","142,928","19.26%","","","","","","","","",NA,NA,"2010"
"1657",1658,"Illinois","IL","S - FULL TERM","S0IL00287","","Donald (Don)","Lowery","Lowery, Donald (Don)","","R","66,357","8.94%","","","","","","","","",NA,NA,"2010"
"1658",1659,"Illinois","IL","S - FULL TERM","S0IL00311","","Kathleen","Thomas","Thomas, Kathleen","","R","54,038","7.28%","","","","","","","","",NA,NA,"2010"
"1659",1660,"Illinois","IL","S - FULL TERM","S4IL00362","","Andy","Martin","Martin, Andy","","R","37,480","5.05%","","","","","","","","",NA,NA,"2010"
"1660",1661,"Illinois","IL","S - FULL TERM","S0IL00279","","John","Arrington","Arrington, John","","R","21,090","2.84%","","","","","","","","",NA,NA,"2010"
"1661",1662,"Illinois","IL","S - FULL TERM","S0IL00410","","Patricia Elaine","Beard","Beard, Patricia Elaine","","W(REP)","2","0.00%","","","","","","","","",NA,NA,"2010"
"1663",1664,"Illinois","IL","S - FULL TERM","S0IL00204","","Alexander ""Alexi""","Giannoulias","Giannoulias, Alexander ""Alexi""","","D","352,202","38.93%","","","1,719,478","46.42%","","","","",NA,NA,"2010"
"1664",1665,"Illinois","IL","S - FULL TERM","S0IL00337","","David","Hoffman","Hoffman, David","","D","304,757","33.68%","","","","","","","","",NA,NA,"2010"
"1665",1666,"Illinois","IL","S - FULL TERM","S0IL00238","","Cheryle","Jackson","Jackson, Cheryle","","D","179,682","19.86%","","","","","","","","",NA,NA,"2010"
"1666",1667,"Illinois","IL","S - FULL TERM","S6IL00185","","Robert","Marshall","Marshall, Robert","","D","51,813","5.73%","","","","","","","","",NA,NA,"2010"
"1667",1668,"Illinois","IL","S - FULL TERM","S0IL00329","","Jacob J.","Meister","Meister, Jacob J.","","D","16,317","1.80%","","","","","","","","",NA,NA,"2010"
"1668",1669,"Illinois","IL","S - FULL TERM","S0IL00402","","Christopher","Smith","Smith, Christopher","","W(DEM)","2","0.00%","","","","","","","","",NA,NA,"2010"
"1670",1671,"Illinois","IL","S - FULL TERM","S0IL00386","","LeAlan M.","Jones","Jones, LeAlan M.","","GRE","5,161","100.00%","","","117,914","3.18%","","","","",NA,NA,"2010"
"1672",1673,"Illinois","IL","S - FULL TERM","S0IL00428","","Mike","Labno","Labno, Mike","","LIB","","","","","87,247","2.36%","","","","",NA,NA,"2010"
"1673",1674,"Illinois","IL","S - FULL TERM","S0IL00212","","Robert L. ""Bob""","Zadek","Zadek, Robert L. ""Bob""","","W","","","","","561","0.02%","","","","",NA,NA,"2010"
"1674",1675,"Illinois","IL","S - FULL TERM","S0IL00378","","Will","Boyd","Boyd, Will","","W","","","","","468","0.01%","","","","",NA,NA,"2010"
"1675",1676,"Illinois","IL","S - FULL TERM","S0IL00352","","Corey","Dabney","Dabney, Corey","","W","","","","","33","0.00%","","","","",NA,NA,"2010"
"1676",1677,"Illinois","IL","S - FULL TERM","S0IL00436","","Susanne","Atanus","Atanus, Susanne","","W","","","","","19","0.00%","","","","",NA,NA,"2010"
"1677",1678,"Illinois","IL","S - FULL TERM","S0IL00444","","Shon-Tiyon ""Santiago""","Horton","Horton, Shon-Tiyon ""Santiago""","","W","","","","","16","0.00%","","","","",NA,NA,"2010"
"1678",1679,"Illinois","IL","S - FULL TERM","S0IL00451","","Avner","Nagar","Nagar, Avner","","W","","","","","15","0.00%","","","","",NA,NA,"2010"
"1679",1680,"Illinois","IL","S - FULL TERM","S0IL00196","","Stan","Jagla","Jagla, Stan","","W","","","","","12","0.00%","","","","",NA,NA,"2010"
"1680",1681,"Illinois","IL","S - FULL TERM","S0IL00469","","Darren","Raichart","Raichart, Darren","","W","","","","","9","0.00%","","","","",NA,NA,"2010"
"1681",1682,"Illinois","IL","S - FULL TERM","S0IL00477","","Lowell M.","Seida","Seida, Lowell M.","","W","","","","","3","0.00%","","","","",NA,NA,"2010"
"1685",1686,"Illinois","IL","S - UNEXPIRED TERM","S0IL00261","","Mark Steven","Kirk","Kirk, Mark Steven","","R","","","","","1,677,729","47.31%","","","","",NA,NA,"2010"
"1686",1687,"Illinois","IL","S - UNEXPIRED TERM","S0IL00204","","Alexander ""Alexi""","Giannoulias","Giannoulias, Alexander ""Alexi""","","D","","","","","1,641,486","46.29%","","","","",NA,NA,"2010"
"1687",1688,"Illinois","IL","S - UNEXPIRED TERM","S0IL00386","","LeAlan M.","Jones","Jones, LeAlan M.","","GRE","","","","","129,571","3.65%","","","","",NA,NA,"2010"
"1688",1689,"Illinois","IL","S - UNEXPIRED TERM","S0IL00428","","Mike","Labno","Labno, Mike","","LIB","","","","","95,762","2.70%","","","","",NA,NA,"2010"
"1689",1690,"Illinois","IL","S - UNEXPIRED TERM","S0IL00212","","Robert","Zadek","Zadek, Robert","","W","","","","","683","0.02%","","","","",NA,NA,"2010"
"1690",1691,"Illinois","IL","S - UNEXPIRED TERM","S0IL00378","","Will","Boyd","Boyd, Will","","W","","","","","415","0.01%","","","","",NA,NA,"2010"
"1691",1692,"Illinois","IL","S - UNEXPIRED TERM","S0IL00485","","Ina","Pinkney","Pinkney, Ina","","W","","","","","297","0.01%","","","","",NA,NA,"2010"
"1692",1693,"Illinois","IL","S - UNEXPIRED TERM","S0IL00352","","Corey","Dabney","Dabney, Corey","","W","","","","","15","0.00%","","","","",NA,NA,"2010"
"1693",1694,"Illinois","IL","S - UNEXPIRED TERM","S0IL00436","","Susanne","Atanus","Atanus, Susanne","","W","","","","","12","0.00%","","","","",NA,NA,"2010"
"1694",1695,"Illinois","IL","S - UNEXPIRED TERM","S0IL00444","","Shon-Tiyon ""Santiago""","Horton","Horton, Shon-Tiyon ""Santiago""","","W","","","","","8","0.00%","","","","",NA,NA,"2010"
"1695",1696,"Illinois","IL","S - UNEXPIRED TERM","S0IL00196","","Stan","Jagla","Jagla, Stan","","W","","","","","5","0.00%","","","","",NA,NA,"2010"
"1696",1697,"Illinois","IL","S - UNEXPIRED TERM","S0IL00477","","Lowell M.","Seida","Seida, Lowell M.","","W","","","","","1","0.00%","","","","",NA,NA,"2010"
"1699",1700,"Indiana","IN","01","H4IN01012","(I)","Peter J. ","Visclosky","Visclosky, Peter J. ","","D","41,982","100.00%","","","99,387","58.56%","","","","",NA,NA,"2010"
"1701",1702,"Indiana","IN","01","H8IN01096","","Mark","Leyva","Leyva, Mark","","R","6,385","24.66%","","","65,558","38.63%","","","","",NA,NA,"2010"
"1702",1703,"Indiana","IN","01","H0IN01085","","Peter, III","Lindemulder","Lindemulder, Peter, III","","R","5,783","22.34%","","","","","","","","",NA,NA,"2010"
"1703",1704,"Indiana","IN","01","H0IN01093","","Eric L. ","Olson","Olson, Eric L. ","","R","3,482","13.45%","","","","","","","","",NA,NA,"2010"
"1704",1705,"Indiana","IN","01","H0IN01077","","Robert","Pastore","Pastore, Robert","","R","3,469","13.40%","","","","","","","","",NA,NA,"2010"
"1705",1706,"Indiana","IN","01","H0IN01101","","Adam A.","Dombkowski","Dombkowski, Adam A.","","R","3,320","12.82%","","","","","","","","",NA,NA,"2010"
"1706",1707,"Indiana","IN","01","H6IN01173","","Ric ","Holtz","Holtz, Ric ","","R","1,505","5.81%","","","","","","","","",NA,NA,"2010"
"1707",1708,"Indiana","IN","01","H6IN01157","","Jayson","Reeves","Reeves, Jayson","","R","1,194","4.61%","","","","","","","","",NA,NA,"2010"
"1708",1709,"Indiana","IN","01","H6IN01124","","Michael","Petyo","Petyo, Michael","","R","754","2.91%","","","","","","","","",NA,NA,"2010"
"1710",1711,"Indiana","IN","01","H0IN01119 ","","Jon ","Morris","Morris, Jon ","","LIB","*","","","","4,762","2.81%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1713",1714,"Indiana","IN","02","H4IN02101","(I)","Joe","Donnelly","Donnelly, Joe","","D","26,659","100.00%","","","91,341","48.18%","","","","",NA,NA,"2010"
"1715",1716,"Indiana","IN","02","H0IN02190","","Jackie  ","Walorski","Walorski, Jackie  ","","R","29,118","60.83%","","","88,803","46.84%","","","","",NA,NA,"2010"
"1716",1717,"Indiana","IN","02","H0IN02208","","Jack Edward","Jordan","Jordan, Jack Edward","","R","13,576","28.36%","","","","","","","","",NA,NA,"2010"
"1717",1718,"Indiana","IN","02","H0IN02224 ","","Martin A.","Dolan","Dolan, Martin A.","","R","3,762","7.86%","","","","","","","","",NA,NA,"2010"
"1718",1719,"Indiana","IN","02","H4IN02119","","Tony Hvfvgpd","Zirkle","Zirkle, Tony Hvfvgpd","","R","1,415","2.96%","","","","","","","","",NA,NA,"2010"
"1720",1721,"Indiana","IN","02","H8IN02136","","Mark ","Vogel","Vogel, Mark ","","LIB","*","","","","9,447","4.98%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1723",1724,"Indiana","IN","03 - FULL TERM","H0IN03198","","Marlin A. ","Stutzman","Stutzman, Marlin A. #","","R","#","","","","116,140","62.76%","","","#  Mark Souder withdrew after the primary election and Marlin Stutzman was nominated by the Republican Party at a caucus on June 12, 2010.","",NA,NA,"2010"
"1724",1725,"Indiana","IN","03 - FULL TERM","H4IN04099","(I)","Mark Edward","Souder","Souder, Mark Edward #","","R","38,441","47.76%","","","","","","","#  Mark Souder withdrew after the primary election and Marlin Stutzman was nominated by the Republican Party at a caucus on June 12, 2010.","",NA,NA,"2010"
"1725",1726,"Indiana","IN","03 - FULL TERM","H0IN03164","","Bob","Thomas","Thomas, Bob","","R","27,068","33.63%","","","","","","","","",NA,NA,"2010"
"1726",1727,"Indiana","IN","03 - FULL TERM","H0IN03149","","Phillip J. (Phil)","Troyer","Troyer, Phillip J. (Phil)","","R","12,851","15.97%","","","","","","","","",NA,NA,"2010"
"1727",1728,"Indiana","IN","03 - FULL TERM","H0IN03156","","Gregory (Greg)","Dickman","Dickman, Gregory (Greg)","","R","2,127","2.64%","","","","","","","","",NA,NA,"2010"
"1729",1730,"Indiana","IN","03 - FULL TERM","H6IN03161","","Thomas","Hayhurst","Hayhurst, Thomas","","D","8,759","79.84%","","","61,267","33.11%","","","","",NA,NA,"2010"
"1730",1731,"Indiana","IN","03 - FULL TERM","H0IN02232","","Thomas Allen","Schrader","Schrader, Thomas Allen","","D","2,212","20.16%","","","","","","","","",NA,NA,"2010"
"1732",1733,"Indiana","IN","03 - FULL TERM","H8IN03068","","Scott ","Wise","Wise, Scott ","","LIB","*","","","","7,631","4.12%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1733",1734,"Indiana","IN","03 - FULL TERM","H0IN03206 ","","Tom","Metzger","Metzger, Tom","","W","","","","","10","0.01%","","","","",NA,NA,"2010"
"1734",1735,"Indiana","IN","03 - FULL TERM","H0IN03214","","Wes","Stephens","Stephens, Wes","","W","","","","","1","0.00%","","","","",NA,NA,"2010"
"1738",1739,"Indiana","IN","03 - UNEXPIRED TERM","H0IN03198","","Marlin A.","Stutzman","Stutzman, Marlin A.","","R","**","","","","115,415","62.65%","","","**  The Republican Party nominated by caucus on June 12, 2010, and the Democratic Party nominated by caucus on June 17, 2010.","",NA,NA,"2010"
"1739",1740,"Indiana","IN","03 - UNEXPIRED TERM","H6IN03161","","Thomas","Hayhurst","Hayhurst, Thomas","","D","**","","","","60,880","33.05%","","","**  The Republican Party nominated by caucus on June 12, 2010, and the Democratic Party nominated by caucus on June 17, 2010.","",NA,NA,"2010"
"1740",1741,"Indiana","IN","03 - UNEXPIRED TERM","H8IN03068","","Scott","Wise","Wise, Scott","","LIB","","","","","7,914","4.30%","","","","",NA,NA,"2010"
"1743",1744,"Indiana","IN","04","H0IN04170","","Todd","Rokita","Rokita, Todd","","R","36,411","42.36%","","","138,732","68.57%","","","","",NA,NA,"2010"
"1744",1745,"Indiana","IN","04","H0IN04204","","Brandt","Hershman","Hershman, Brandt","","R","14,712","17.12%","","","","","","","","",NA,NA,"2010"
"1745",1746,"Indiana","IN","04","H2IN04077","","R. Michael ","Young","Young, R. Michael ","","R","6,991","8.13%","","","","","","","","",NA,NA,"2010"
"1746",1747,"Indiana","IN","04","H0IN04196","","Eric L. ","Wathen","Wathen, Eric L. ","","R","5,493","6.39%","","","","","","","","",NA,NA,"2010"
"1747",1748,"Indiana","IN","04","H8IN04116","","LaRon","Keith","Keith, LaRon","","R","3,549","4.13%","","","","","","","","",NA,NA,"2010"
"1748",1749,"Indiana","IN","04","H0IN04220","","Charles E. ","Henderson","Henderson, Charles E. ","","R","3,531","4.11%","","","","","","","","",NA,NA,"2010"
"1749",1750,"Indiana","IN","04","H0IN04212","","Jon","Acton","Acton, Jon","","R","3,444","4.01%","","","","","","","","",NA,NA,"2010"
"1750",1751,"Indiana","IN","04","H0IN04253 ","","Cheryl Denise","Allen","Allen, Cheryl Denise","","R","2,972","3.46%","","","","","","","","",NA,NA,"2010"
"1751",1752,"Indiana","IN","04","H4IN04156","","Mike","Campbell","Campbell, Mike","","R","2,407","2.80%","","","","","","","","",NA,NA,"2010"
"1752",1753,"Indiana","IN","04","H0IN04261","","James T. (Jim)","Hass","Hass, James T. (Jim)","","R","2,161","2.51%","","","","","","","","",NA,NA,"2010"
"1753",1754,"Indiana","IN","04","H0IN04287","","Phillip J. (PJ)","Steffen","Steffen, Phillip J. (PJ)","","R","1,737","2.02%","","","","","","","","",NA,NA,"2010"
"1754",1755,"Indiana","IN","04","H0IN04279","","Mark ","Seitz","Seitz, Mark ","","R","1,562","1.82%","","","","","","","","",NA,NA,"2010"
"1755",1756,"Indiana","IN","04","H0IN04162","","Daniel L.","Dunham","Dunham, Daniel L.","","R","981","1.14%","","","","","","","","",NA,NA,"2010"
"1757",1758,"Indiana","IN","04","H4IN04149","","David","Sanders","Sanders, David","","D","7,615","51.55%","","","53,167","26.28%","","","","",NA,NA,"2010"
"1758",1759,"Indiana","IN","04","H0IN04238","","Tara E.","Nelson","Nelson, Tara E.","","D","4,253","28.79%","","","","","","","","",NA,NA,"2010"
"1759",1760,"Indiana","IN","04","H0IN04246","","Mark  ","Powell","Powell, Mark  ","","D","2,905","19.66%","","","","","","","","",NA,NA,"2010"
"1761",1762,"Indiana","IN","04","H0IN04295 ","","John ","Duncan","Duncan, John ","","LIB","*","","","","10,423","5.15%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1764",1765,"Indiana","IN","05","H2IN06023","(I)","Dan","Burton","Burton, Dan","","R","32,769","29.67%","","","146,899","62.14%","","","","",NA,NA,"2010"
"1765",1766,"Indiana","IN","05","H0IN02125","","Luke","Messer","Messer, Luke","","R","30,502","27.62%","","","","","","","","",NA,NA,"2010"
"1766",1767,"Indiana","IN","05","H8IN05097","","John","McGoff","McGoff, John","","R","20,679","18.72%","","","","","","","","",NA,NA,"2010"
"1767",1768,"Indiana","IN","05","H0IN05102","","Michael B.","Murphy","Murphy, Michael B.","","R","9,805","8.88%","","","","","","","","",NA,NA,"2010"
"1768",1769,"Indiana","IN","05","H0IN05086","","Brose","McVey","McVey, Brose","","R","9,372","8.49%","","","","","","","","",NA,NA,"2010"
"1769",1770,"Indiana","IN","05","H0IN05136","","Andy","Lyons","Lyons, Andy","","R","3,964","3.59%","","","","","","","","",NA,NA,"2010"
"1770",1771,"Indiana","IN","05","H0IN05144","","Ann B.","Adcook","Adcook, Ann B.","","R","3,352","3.04%","","","","","","","","",NA,NA,"2010"
"1772",1773,"Indiana","IN","05","H0IN05151","","Tim","Crawford","Crawford, Tim","","D","9,937","60.88%","","","60,024","25.39%","","","","",NA,NA,"2010"
"1773",1774,"Indiana","IN","05","H0IN05128","","Nasser","Hanna","Hanna, Nasser","","D","6,386","39.12%","","","","","","","","",NA,NA,"2010"
"1775",1776,"Indiana","IN","05","H0IN05169","","Richard (Chard)","Reid","Reid, Richard (Chard)","","LIB","*","","","","18,266","7.73%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1776",1777,"Indiana","IN","05","H0IN05177 ","","Jesse C.","Trueblood","Trueblood, Jesse C.","","IND","","","","","11,218","4.75%","","","","",NA,NA,"2010"
"1779",1780,"Indiana","IN","06","H8IN02060","(I)","Mike","Pence","Pence, Mike","","R","61,381","100.00%","","","126,027","66.57%","","","","",NA,NA,"2010"
"1781",1782,"Indiana","IN","06","H6IN06149","","Barry ","Welsh","Welsh, Barry ","","D","17,479","62.95%","","","56,647","29.92%","","","","",NA,NA,"2010"
"1782",1783,"Indiana","IN","06","H6IN06024","","George Thomas","Holland","Holland, George Thomas","","D","10,287","37.05%","","","","","","","","",NA,NA,"2010"
"1784",1785,"Indiana","IN","06","H0IN06100","","Talmage (T.J.), Jr.","Thompson","Thompson, Talmage (T.J.), Jr.","","LIB","*","","","","6,635","3.50%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1787",1788,"Indiana","IN","07","H8IN07184","(I)","Andre D.","Carson","Carson, Andre D.","","D","26,364","89.05%","","","86,011","58.90%","","","","",NA,NA,"2010"
"1788",1789,"Indiana","IN","07","H0IN07199 ","","Bob","Kern","Kern, Bob","","D","2,150","7.26%","","","","","","","","",NA,NA,"2010"
"1789",1790,"Indiana","IN","07","H0IN07181 ","","Carl ","Kakasuleff","Kakasuleff, Carl ","","D","737","2.49%","","","","","","","","",NA,NA,"2010"
"1790",1791,"Indiana","IN","07","H6IN07337","","Pierre Quincy","Pullins","Pullins, Pierre Quincy","","D","354","1.20%","","","","","","","","",NA,NA,"2010"
"1792",1793,"Indiana","IN","07","H0IN07207 ","","Marvin B.","Scott","Scott, Marvin B.","","R","11,193","44.34%","","","55,213","37.81%","","","","",NA,NA,"2010"
"1793",1794,"Indiana","IN","07","H0IN07173","","Carlos","May","May, Carlos","","R","9,325","36.94%","","","","","","","","",NA,NA,"2010"
"1794",1795,"Indiana","IN","07","H8IN07150","","Wayne E.","Harmon","Harmon, Wayne E.","","R","4,728","18.73%","","","","","","","","",NA,NA,"2010"
"1796",1797,"Indiana","IN","07","H0IN07215 ","","Dav","Wilson","Wilson, Dav","","LIB","*","","","","4,815","3.30%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1799",1800,"Indiana","IN","08","H0IN08114","","Larry D. ","Bucshon","Bucshon, Larry D. ","","R","16,262","32.74%","","","116,759","57.44%","","","","",NA,NA,"2010"
"1800",1801,"Indiana","IN","08","H0IN08108","","Kristi ","Risk","Risk, Kristi ","","R","14,273","28.73%","","","","","","","","",NA,NA,"2010"
"1801",1802,"Indiana","IN","08","H0IN08189","","John Lee","Smith","Smith, John Lee","","R","4,715","9.49%","","","","","","","","",NA,NA,"2010"
"1802",1803,"Indiana","IN","08","H0IN08106","","Dan ","Stockton","Stockton, Dan ","","R","4,697","9.46%","","","","","","","","",NA,NA,"2010"
"1803",1804,"Indiana","IN","08","H0IN08205","","Steve","Westell","Westell, Steve","","R","4,324","8.70%","","","","","","","","",NA,NA,"2010"
"1804",1805,"Indiana","IN","08","H0IN08197 ","","John K.","Snyder","Snyder, John K.","","R","2,523","5.08%","","","","","","","","",NA,NA,"2010"
"1805",1806,"Indiana","IN","08","H0IN08171","","Bud","Bernitt","Bernitt, Bud","","R","1,469","2.96%","","","","","","","","",NA,NA,"2010"
"1806",1807,"Indiana","IN","08","H0IN08122","","Billy J. ","Mahoney","Mahoney, Billy J. ","","R","1,410","2.84%","","","","","","","","",NA,NA,"2010"
"1808",1809,"Indiana","IN","08","H0IN08163 ","","W. Trent","VanHaaften","VanHaaften, W. Trent","","D","31,685","100.00%","","","76,265","37.52%","","","","",NA,NA,"2010"
"1810",1811,"Indiana","IN","08","H0IN08130","","John ","Cunningham","Cunningham, John ","","LIB","*","","","","10,240","5.04%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1813",1814,"Indiana","IN","09","H0IN09070","","Todd","Young","Young, Todd","","R","19,141","34.57%","","","118,040","52.34%","","","","",NA,NA,"2010"
"1814",1815,"Indiana","IN","09","H0IN09088","","Travis ","Hankins","Hankins, Travis ","","R","17,909","32.34%","","","","","","","","",NA,NA,"2010"
"1815",1816,"Indiana","IN","09","H2IN09084","","Mike ","Sodrel","Sodrel, Mike ","","R","16,868","30.46%","","","","","","","","",NA,NA,"2010"
"1816",1817,"Indiana","IN","09","H0IN09120","","Rick ","Warren","Warren, Rick ","","R","1,453","2.62%","","","","","","","","",NA,NA,"2010"
"1818",1819,"Indiana","IN","09","H8IN09032","(I)","Baron P.","Hill","Hill, Baron P.","","D","37,493","69.58%","","","95,353","42.28%","","","","",NA,NA,"2010"
"1819",1820,"Indiana","IN","09","H8IN09065","","John R.","Bottorff","Bottorff, John R.","","D","7,628","14.16%","","","","","","","","",NA,NA,"2010"
"1820",1821,"Indiana","IN","09","H0IN09112","","Carol","Johnson-Smith","Johnson-Smith, Carol","","D","4,679","8.68%","","","","","","","","",NA,NA,"2010"
"1821",1822,"Indiana","IN","09","H0IN09104","","James R., Jr.","McClure","McClure, James R., Jr.","","D","2,399","4.45%","","","","","","","","",NA,NA,"2010"
"1822",1823,"Indiana","IN","09","H0IN09039","","Lendall B.","Terry","Terry, Lendall B.","","D","1,685","3.13%","","","","","","","","",NA,NA,"2010"
"1824",1825,"Indiana","IN","09","H0IN09138","","Greg ""No Bull""","Knott","Knott, Greg ""No Bull""","","LIB","*","","","","12,070","5.35%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.","",NA,NA,"2010"
"1825",1826,"Indiana","IN","09","H0IN09146","","Jerry R.","Lucas","Lucas, Jerry R.","","W","","","","","69","0.03%","","","","",NA,NA,"2010"
"1829",1830,"Indiana","IN","S","S0IN00053","","Dan","Coats","Coats, Dan","","R","217,225","39.47%","","","952,116","54.58%","","","","",NA,NA,"2010"
"1830",1831,"Indiana","IN","S","S0IN00095","","Marlin A. ","Stutzman","Stutzman, Marlin A. ","","R","160,981","29.25%","","","","","","","","",NA,NA,"2010"
"1831",1832,"Indiana","IN","S","S0IN00137","","John N.","Hostettler","Hostettler, John N.","","R","124,494","22.62%","","","","","","","","",NA,NA,"2010"
"1832",1833,"Indiana","IN","S","S0IN00111","","Don, Jr.","Bates","Bates, Don, Jr.","","R","24,664","4.48%","","","","","","","","",NA,NA,"2010"
"1833",1834,"Indiana","IN","S","S0IN00103","","Richard","Behney","Behney, Richard","","R","23,005","4.18%","","","","","","","","",NA,NA,"2010"
"1835",1836,"Indiana","IN","S","S0IN00152","","Brad ","Ellsworth","Ellsworth, Brad ","","D","#","","","","697,775","40.00%","","","#  Brad Ellsworth was nominated by the Democratic Party at a caucus on May 15, 2010.","",NA,NA,"2010"
"1836",1837,"Indiana","IN","S","S8IN00080","","Rebecca","Sink-Burris","Sink-Burris, Rebecca","","LIB","*","","","","94,330","5.41%","","","*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominee is noted with an asterisk.","",NA,NA,"2010"
"1837",1838,"Indiana","IN","S","S0IN00178","","Jim","Miller","Miller, Jim","","W","","","","","161","0.01%","","","","",NA,NA,"2010"
"1838",1839,"Indiana","IN","S","S0IN00186","","Jack ","Rooney","Rooney, Jack ","","W","","","","","99","0.01%","","","","",NA,NA,"2010"
"1841",1842,"Iowa","IA","01","H6IA01098","(I)","Bruce","Braley","Braley, Bruce","","D","12,316","99.43%","","","104,428","49.51%","","","","",NA,NA,"2010"
"1844",1845,"Iowa","IA","01","H0IA01109","","Benjamin M.","Lange","Lange, Benjamin M.","","R","14,048","52.78%","","","100,219","47.52%","","","","",NA,NA,"2010"
