"","Year","Candidate","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","cluster","X_first_score","X_second_score"
"75",2008,"H8MA05200",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"76",2008,"H8MD01094",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"77",2008,"H8MD04130",0.725797101449275,0,0,0.274202898550725,0,0,0,0,0,0,0,5,-0.421078755024653,-0.0179618447602009
"78",2008,"H8ME01138",0.0956024626209323,0,0.632651715039578,2.19876868953386e-05,0,0.127858399296394,0.025131926121372,0,0,0.109938434476693,0.00879507475813544,7,0.228966801206933,0.211592413416403
"79",2008,"H8MI01107",0.838345864661654,0,0,0.161654135338346,0,0,0,0,0,0,0,5,-0.526676226780038,-0.0380824135658312
"80",2008,"H8MN03077",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"81",2008,"H8MN03085",0.999438404169287,0,0,0,0.000561595830712553,0,0,0,0,0,0,5,-0.677649238509558,-0.0673519644716126
"82",2008,"H8MO02166",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"83",2008,"H8MS01061",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"84",2008,"H8NC03050",0.0839444076770351,0,0.402488418266049,0,0,0,0,0,0.116479152878888,0,0.397088021178028,7,0.23786496958034,0.178134049442165
"85",2008,"H8NC10063",0.161637686100693,0,0,0.016479145357427,0,0.669877258779407,0,0,0.152005909762473,0,0,4,0.116514080190583,0.0923807024652467
"86",2008,"H8NJ03156",0.883720930232558,0,0,0,0.116279069767442,0,0,0,0,0,0,5,-0.534039351563141,-0.143655995227594
"87",2008,"H8NM01224",0.999796799180694,0,0,0,0.000203200819305703,0,0,0,0,0,0,5,-0.678094020661461,-0.0671156390227168
"88",2008,"H8NM02032",0.999787072761496,0,0,0,0.000212927238504058,0,0,0,0,0,0,5,-0.678081949796846,-0.0671220526175216
"89",2008,"H8NM02081",0.58150036416606,0,0,0,0,0,0,0,0.0546249089584851,0,0.363874726875455,5,-0.259219602982164,0.044887134323976
"90",2008,"H8NM03196",0.99964198255739,0,0,0,0.000358017442609804,0,0,0,0,0,0,5,-0.677901887209064,-0.0672177250083874
"91",2008,"H8NY26079",0.793056585124784,0,0,0,0.00102956922823491,0,0,0,0,0.205913845646981,0,5,-0.45217107883562,0.0720714395637666
"92",2008,"H8OH01068",0.999734181118353,0,0,0,0.000265818881646801,0,0,0,0,0,0,5,-0.678016309210047,-0.0671569293343026
"93",2008,"H8OH02066",0.364827712609971,0,0.635172287390029,0,0,0,0,0,0,0,0,7,-0.0414780968971808,0.107350535484174
"94",2008,"H8OH07081",0.42835288118307,0,0,0.57164711881693,0,0,0,0,0,0,0,4,-0.142005429366744,0.0352128568436725
"95",2008,"H8OH10051",0.267033044458536,0,0.141125907137321,0,0,0,0,0,0.310011977735503,0,0.281829070668639,4,0.0479361925746324,0.117556341479602
"96",2008,"H8OH11067",0.0208624475943302,0.598921940507087,0.00319425034937113,0.177380714713516,0,0,0,0.199640646835696,0,0,0,2,0.262980189366192,0.128208619520521
"97",2008,"H8OH15076",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"98",2008,"H8OH16058",0.964972349033144,0,0,0,0.000231971198456,0,0,0,0.0347956797684,0,0,5,-0.644243574593871,-0.0594452123980447
"99",2008,"H8OH18070",0.116830683825385,0,0,0,0,0,0,0,0,0,0.883169316174615,6,0.210082487024656,0.175239032611884
"100",2008,"H8OR05099",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"101",2008,"H8PA03068",0.824863535019605,0,0.175136464980395,0,0,0,0,0,0,0,0,5,-0.502742147225395,-0.0189129228510575
"102",2008,"H8PA05089",0.63898916967509,0,0.36101083032491,0,0,0,0,0,0,0,0,5,-0.316371524690149,0.0321029742617698
"103",2008,"H8PA05147",0.715707178393746,0,0.284292821606254,0,0,0,0,0,0,0,0,5,-0.393294359197529,0.011046611636199
"104",2008,"H8PA12044",0.199919781099637,0.714297651622078,0.0173701266638205,0.0126603048622073,0,0.0499195532050337,0,0,0,0.00533121441995506,0.000501368127268501,2,0.103916303098533,0.106994859490387
"105",2008,"H8PR00062",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"106",2008,"H8TX04113",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"107",2008,"H8TX06134",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"108",2008,"H8TX07074",0.677336424164256,0,0,0,0.00021786872102346,0,0,0,0.322445707114721,0,0,5,-0.364720305405795,0.00413104394946159
"109",2008,"H8TX22107",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
