"","Year","Candidate","C10","M01","M10","M20","M30","M40","M50"
"134","2008","S8NM00184","1","0","0","0","0","0","0"
"135","2008","H8AL05109","0","1","0","0","0","0","0"
"136","2008","H8GA06161","0","1","0","0","0","0","0"
"137","2008","H8nj02091","0","1","0","0","0","0","0"
"138","2008","H8NM01174","0","1","0","0","0","0","0"
"139","2008","H0IL15053","0","0","0.963030672354256","0.0369693276457445","0","0","0"
"140","2008","H2AZ01149","0","0","0.801659751037344","0.198340248962656","0","0","0"
"141","2008","H4GA12010","0","0","1","0","0","0","0"
"142","2008","H6CA24246","0","0","1","0","0","0","0"
"143","2008","H6CA29161","0","0","1","0","0","0","0"
"144","2008","H6TX09033","0","0","1","0","0","0","0"
"145","2008","H8IN09032","0","0","0.987654320987654","0","0.0123456790123457","0","0"
"146","2008","H8NC05030","0","0","1","0","0","0","0"
"147","2008","H8NY23100","0","0","1","0","0","0","0"
"148","2008","H8TX18139","0","0","1","0","0","0","0"
"149","2008","P80004013","0","0","1","0","0","0","0"
"150","2008","S2OH00113","0","0","1","0","0","0","0"
"151","2008","H0IL16085","0","0","0","1","0","0","0"
"152","2008","H0PA11050","0","0","0","0.999390615478367","0.000609384521633151","0","0"
"153","2008","H2CO04045","0","0","0","1","0","0","0"
"154","2008","H2IL08039","0","0","0","0.879227053140097","0.120772946859903","0","0"
"155","2008","H2IL20042","0","0","0","0.708171206225681","0","0.291828793774319","0"
"156","2008","H4IL03077","0","0","0","1","0","0","0"
"157","2008","H4IL07037","0","0","0","0.879227053140097","0.120772946859903","0","0"
"158","2008","H6ID01177","0","0","0","1","0","0","0"
"159","2008","H6IL02124","0","0","0","0.879227053140097","0.120772946859903","0","0"
"160","2008","H6IL17155","0","0","0","1","0","0","0"
"161","2008","H6PA12030","0","0","0","1","0","0","0"
"162","2008","H8AZ08018","0","0","0","1","0","0","0"
"163","2008","H8CA04152","0","0","0","1","0","0","0"
"164","2008","H8CA11082","0","0","0","1","0","0","0"
"165","2008","H8CA50049","0","0","0","1","0","0","0"
"166","2008","H8CA52052","0","0","0","1","0","0","0"
"167","2008","H8IL09067","0","0","0","0.879227053140097","0.120772946859903","0","0"
"168","2008","H8IL21021","0","0","0","1","0","0","0"
"169","2008","H8MI04077","0","0","0","1","0","0","0"
"170","2008","H8OH07073","0","0","0","1","0","0","0"
"171","2008","H8WY00148","0","0","0","1","0","0","0"
"172","2008","P80000333","0","0","0","1","0","0","0"
