,,"Use of this data for non-commercial purposes is encouraged, provided that clear and visible credit is given to Center for American Women and Politics, Eagleton Institute of Politics, Rutgers University-New Brunswick. Any use of this data for publication or public presentation must credit CAWP. Commercial reproduction requires prior permission in writing from the Center for American Women and Politics.

Suggested In-Text Attribution: Center for American Women and Politics (CAWP) at the Eagleton Institute of Politics at Rutgers University-New Brunswick
Suggested Citation: Center for American Women and Politics (CAWP). Women Statewide and Congressional Candidates Database. New Brunswick, NJ: Eagleton Institute of Politics, Rutgers University-New Brunswick.
",,,,,,,,,,
State,Office,District,First Name,Middle Name,Last Name,Party,Primary Seat Status,General Seat Status,Primary Results,General Result,Race,Year
IL,U.S. Senator,,Cheryle,,Jackson,D,O,.,L,,B,2010
IL,U.S. Senator,,Kathleen,,Thomas,R,O,.,L,,W,2010
IN,U.S. Representative,9,Carol,,Johnson-Smith,D,CP,.,L,,W,2010
IN,U.S. Representative,8,Kristi,,Risk,R,O,.,L,,W,2010
IN,U.S. Representative,5,Ann,B.,Adcook,R,CP,.,L,,W,2010
IN,U.S. Representative,4,Cheryl,Denise,Allen,R,O,.,L,,W,2010
IN,U.S. Representative,4,Tara,E.,Nelson,D,O,.,L,,W,2010
IN,U.S. Representative,2,Jackie,Swihart,Walorski,R,C,C,W,L,W,2010
KS,U.S. Representative,4,Paij,,Rutschman,R,O,.,L,,W,2010
KS,U.S. Representative,4,Jean,Kurtis,Schodorf,R,O,.,L,,W,2010
KS,U.S. Representative,3,Jean,Ann,Uvodich,R,O,.,L,,W,2010
KS,U.S. Representative,3,Stephene,,Moore,D,O,O,W,L,W,2010
KS,U.S. Representative,3,Patricia,,Lightner,R,O,.,L,,W,2010
KS,U.S. Representative,2,Cheryl,,Hudspeth,D,C,C,W,L,W,2010
KS,U.S. Representative,2,Lynn,,Jenkins,R,I,I,W,W,W,2010
KS,U.S. Representative,1,Sue,E.,Boldra,R,O,.,L,,W,2010
KS,U.S. Senator,,Lisa,,Johnston,D,O,O,W,L,W,2010
KY,U.S. Senator,,Darlene,F.,Price,D,O,.,L,,W,2010
MA,U.S. Representative,5,Niki,,Tsongas,D,I,I,W,W,W,2010
MA,U.S. Representative,4,Rachel,E.,Brown,D,CP,.,L,,W,2010
MD,U.S. Representative,8,Christine,,Thron,R,C,.,L,,W,2010
MD,U.S. Representative,4,Donna,,Edwards,D,I,I,W,W,B,2010
MD,U.S. Senator,,Sanquetta,,Taylor,D,CP,.,L,,B,2010
MD,U.S. Senator,,Theresa,C.,Scaldaferri,D,CP,.,L,,W,2010
MD,U.S. Senator,,Barbara,,Mikulski,D,I,I,W,W,W,2010
MD,U.S. Senator,,Lih,,Young,D,CP,.,L,,AP,2010
ME,U.S. Representative,1,Chellie,,Pingree,D,I,I,W,W,W,2010
MI,U.S. Representative,14,Pauline,,Montie,R,C,.,L,,W,2010
MI,U.S. Representative,13,Carolyn,Cheeks,Kilpatrick,D,I,.,L,,B,2010
MI,U.S. Representative,11,Natalie,,Mosher,D,C,C,W,L,W,2010
MI,U.S. Representative,10,Candice,S.,Miller,R,I,I,W,W,W,2010
MI,U.S. Representative,9,Anna,,Janek,R,C,.,L,,W,2010
MI,U.S. Representative,3,Louise,E.,Johnson,R,O,.,L,,W,2010
MI,U.S. Representative,2,Nicolette,,McClure,D,O,.,L,,B,2010
MI,U.S. Representative,1,Linda,,Goldthorpe,R,O,.,WD,,W,2010
MN,U.S. Representative,6,Maureen,,Reed,DFL,C,.,L,,W,2010
MN,U.S. Representative,6,Tarryl,,Clark,DFL,C,C,W,L,W,2010
MN,U.S. Representative,6,Michele,,Bachmann,R,I,I,W,W,W,2010
MN,U.S. Representative,5,Barb,Davis,White,DFL,CP,.,L,,B,2010
MN,U.S. Representative,4,Diana,,Longrie,DFL,CP,.,L,,W,2010
MN,U.S. Representative,4,Teresa,,Collett,R,C,C,W,L,W,2010
MN,U.S. Representative,4,Betty,,McCollum,D,I,I,W,W,W,2010
MN,U.S. Representative,2,Shelley,J.,Madore,DFL,C,C,W,L,W,2010
MO,U.S. Representative,8,Jo Ann,,Emerson,R,I,I,W,W,W,2010
MO,U.S. Representative,4,Vicky,,Hartzler,R,C,C,W,W,W,2010
MO,U.S. Representative,1,Robyn,,Hamlin,R,C,C,W,L,W,2010
MO,U.S. Representative,1,Candice,"""Britt""",Britton,D,CP,.,L,,W,2010
MO,U.S. Senator,,Deborah,,Solomon,R,O,.,L,,W,2010
MO,U.S. Senator,,Kristi,,Nichols,R,O,.,L,,W,2010
MO,U.S. Senator,,Robin,,Carnahan,D,O,O,W,L,W,2010
MS,U.S. Representative,1,Angela,,McGlowan,R,C,.,L,,B,2010
MT,U.S. Representative,AL,Agnes,'A.J.',Otjen,R,CP,.,L,,W,2010
MT,U.S. Representative,AL,Melinda,,Gopher,D,C,.,L,,W,2010
NC,U.S. Representative,10,Anne,N.,Fischer,D,C,.,L,,W,2010
NC,U.S. Representative,9,Sue,,Myrick,R,I,I,W,W,W,2010
NC,U.S. Representative,8,Nancy,,Shakir,D,CP,.,L,,B,2010
NC,U.S. Representative,6,Cathy,Brewer,Hinson,R,CP,.,L,,W,2010
NC,U.S. Representative,5,Virginia,,Foxx,R,I,I,W,W,W,2010
NC,U.S. Representative,2,Renee,,Ellmers,R,C,C,W,W,W,2010
NC,U.S. Senator,,Susan,,Harris,D,C,.,L,,W,2010
NC,U.S. Senator,,Ann,,Worthy,D,C,.,L,,B,2010
NC,U.S. Senator,,Elaine,F.,Marshall,D,C,C,W,L,W,2010
NE,U.S. Representative,3,Rebekah,,Davis,D,C,C,W,L,W,2010
NE,U.S. Representative,1,Ivy,,Harper,D,C,C,W,L,W,2010
NE,U.S. Representative,1,Jessica,Lynn,Turek,D,C,.,L,,W,2010
NH,U.S. Representative,2,Ann,McLane,Kuster,D,O,O,W,L,W,2010
NH,U.S. Representative,2,Jennifer,,Horn,R,O,.,L,,W,2010
NH,U.S. Representative,2,Katrina,,Swett,D,O,.,L,,W,2010
NH,U.S. Representative,1,Carol,,Shea-Porter,D,I,I,W,L,W,2010
NH,U.S. Senator,,Kelly,,Ayotte,R,O,O,W,W,W,2010
NJ,U.S. Representative,13,Henrietta,,Dwyer,R,C,C,W,L,W,2010
NJ,U.S. Representative,6,Anna,C.,Little,R,C,C,W,L,W,2010
NJ,U.S. Representative,6,Diane,,Gooch,R,C,.,L,,W,2010
NJ,U.S. Representative,2,Linda,,Biamonte,R,CP,.,L,,W,2010
NJ,U.S. Representative,2,Donna,M.,Ward,R,CP,.,L,,W,2010
NJ,U.S. Representative,1,Loran,,Olgelsby,R,C,.,L,,W,2010
NV,U.S. Representative,3,Dina,,Titus,D,I,I,W,L,W,2010
NV,U.S. Representative,2,Nancy,,Price,D,C,C,W,L,W,2010
NV,U.S. Representative,1,Michele,,Fiore,R,C,.,L,,W,2010
NV,U.S. Representative,1,Shelley,,Berkley,D,I,I,W,W,W,2010
NV,U.S. Senator,,Cecilia,,Stern,R,C,.,L,,W,2010
NV,U.S. Senator,,Sharron,,Angle,R,C,C,W,L,W,2010
NV,U.S. Senator,,Sue,,Lowden,R,C,.,L,,W,2010
NY,U.S. Representative,28,Jill,,Rowland,R,C,C,W,L,W,2010
NY,U.S. Representative,28,Louise,,Slaughter,D,I,I,W,W,W,2010
NY,U.S. Representative,25,Ann,Marie,Buerkle,R,C,C,W,W,W,2010
NY,U.S. Representative,19,Nan,,Hayworth,R,C,C,W,W,W,2010
NY,U.S. Representative,18,Nita,,Lowey,D,I,I,W,W,W,2010
NY,U.S. Representative,15,Joyce,S.,Johnson,D,CP,.,L,,B,2010
NY,U.S. Representative,14,Reshma,M.,Saujani,D,CP,.,L,,AP,2010
NY,U.S. Representative,14,Carolyn,,Maloney,D,I,I,W,W,W,2010
NY,U.S. Representative,12,Nydia,,Velazquez,D,I,IU,W,W,H,2010
NY,U.S. Representative,11,Yvette,D.,Clarke,D,I,I,W,W,B,2010
NY,U.S. Representative,10,Diana,,Muniz,R,C,C,W,L,H,2010
NY,U.S. Representative,8,Susan,L.,Kone,R,C,C,W,L,W,2010
NY,U.S. Representative,5,Elizabeth,'Liz',Berney,R,C,.,L,,W,2010
NY,U.S. Representative,5,Patricia,M.,Maher,D,CP,.,L,,W,2010
NY,U.S. Representative,4,Carolyn,,McCarthy,D,I,I,W,W,W,2010
NY,U.S. Senator,,Gail,,Goode,D,CP,.,L,,B,2010
NY,U.S. Senator,,Kirsten,Rutnik,Gillibrand,D,I,I,W,W,W,2010
OH,U.S. Representative,18,Jeannette,,Moll,R,C,.,L,,W,2010
OH,U.S. Representative,15,Mary,Jo,Kilroy,D,I,I,W,L,W,2010
OH,U.S. Representative,13,Betty,,Sutton,D,I,I,W,W,W,2010
OH,U.S. Representative,12,Paula,,Brooks,D,C,C,W,L,W,2010
OH,U.S. Representative,11,Marcia,,Fudge,D,I,I,W,W,B,2010
OH,U.S. Representative,9,Marcy,,Kaptur,D,I,I,W,W,W,2010
OH,U.S. Representative,7,Olivia,,Freeman,D,C,.,L,,B,2010
OH,U.S. Representative,3,Rene,L.,Oberer,R,CP,.,L,,W,2010
OH,U.S. Representative,2,Debbi,,Alsfelder,R,CP,.,L,,W,2010
OH,U.S. Representative,2,Jean,,Schmidt,R,I,I,W,W,W,2010
OH,U.S. Senator,,Jennifer,L.,Brunner,D,O,.,L,,W,2010
OK,U.S. Representative,1,Fran,,Moghaddam,R,CP,.,L,,W,2010
OK,U.S. Senator,,Evelyn,L.,Rogers,R,CP,.,L,,W,2010
OR,U.S. Representative,4,Jaynee,,Germond,R,C,.,L,,W,2010
OR,U.S. Representative,3,Delia,,Lopez,R,C,C,W,L,W,2010
OR,U.S. Representative,2,Joyce,B.,Segers,D,C,C,W,L,W,2010
PA,U.S. Representative,17,Sheila,,Dow-Ford,D,CP,.,L,,B,2010
PA,U.S. Representative,16,Lois,K.,Herr,D,C,C,W,L,W,2010
PA,U.S. Representative,14,Melissa,,Haluszczak,R,C,C,W,L,W,2010
PA,U.S. Representative,13,Allyson,,Schwartz,D,I,I,W,W,W,2010
PA,U.S. Representative,8,Gloria,,Carlineo,R,C,.,L,,H,2010
PA,U.S. Representative,4,Mary,Beth,Buchanan,R,C,.,L,,W,2010
PA,U.S. Representative,3,Martha,,Moore,R,C,.,L,,W,2010
PA,U.S. Representative,3,Kathy,,Dahlkemper,D,I,I,W,L,W,2010
PA,U.S. Senator,,Peg,K.,Luksik,R,C,.,L,,W,2010
RI,U.S. Representative,2,Elizabeth,M.,Dennigan,D,CP,.,L,,W,2010
RI,U.S. Representative,1,Kara,D.,Russo,R,O,.,L,,W,2010
SC,U.S. Representative,6,Colleen,,Payne,R,C,.,L,,W,2010
SC,U.S. Representative,6,Nancy,,Harrelson,R,C,.,L,,W,2010
SC,U.S. Representative,4,Christina,,Jeffrey,R,CP,.,L,,W,2010
SC,U.S. Representative,3,Jane,,Dyer,D,O,O,W,L,W,2010
SC,U.S. Representative,1,Katherine,,Jenerette,R,O,.,L,,W,2010
SC,U.S. Senator,,Susan,McDonald,Gaddy,R,CP,.,L,,W,2010
SD,U.S. Representative,AL,Kristi,L.,Noem,R,C,C,W,W,W,2010
SD,U.S. Representative,AL,Stephanie,,Herseth Sandlin,D,I,I,W,L,W,2010
TN,U.S. Representative,9,Charlotte,,Bergmann,R,O,O,W,L,B,2010
TN,U.S. Representative,8,Kimberlee,E.,Smith,D,O,.,L,,W,2010
TN,U.S. Representative,7,Marsha,,Blackburn,R,I,I,W,W,W,2010
TN,U.S. Representative,6,Devora,E.,Butler,D,O,.,L,,B,2010
TN,U.S. Representative,6,Lou Ann,,Zelenik,R,O,.,L,,W,2010
TN,U.S. Representative,6,Diane,L.,Black,R,O,O,W,W,W,2010
TN,U.S. Representative,5,CeCe,,Heil,R,O,.,L,,W,2010
TN,U.S. Representative,3,Brenda,Freeman,Short,D,O,.,L,,W,2010
TN,U.S. Representative,3,Alicia,,Mitchell,D,O,.,L,,W,2010
TN,U.S. Representative,3,Robin,,Smith,R,O,.,L,,W,2010
TN,U.S. Representative,3,Jean,,Howard-Hill,R,O,.,L,,B,2010
TX,U.S. Representative,30,Eddie,Bernice,Johnson,D,I,I,W,W,B,2010
TX,U.S. Representative,27,Jessica,,Puente-Bradshaw,R,C,.,L,,H,2010
TX,U.S. Representative,25,Donna,,Campbell,R,C,C,W,L,W,2010
TX,U.S. Representative,22,Kesha,,Rogers,D,C,C,W,L,B,2010
TX,U.S. Representative,21,Lainey,,Melnick,D,C,C,W,L,W,2010
TX,U.S. Representative,18,Brenda,,Page,R,C,.,L,,W,2010
TX,U.S. Representative,18,Sheila,,Jackson Lee,D,I,I,W,W,B,2010
TX,U.S. Representative,12,Kay,,Granger,R,I,I,W,W,W,2010
TX,U.S. Representative,4,VaLinda,,Hathcox,D,I,I,W,L,W,2010
UT,U.S. Representative,3,Karen,,Hyer,D,C,C,W,L,W,2010
UT,U.S. Representative,2,Claudia,,Wright,D,C,.,L,,W,2010
UT,U.S. Senator,,Cherilyn,,Eagar,R,CP,.,L,,W,2010
VA,U.S. Representative,5,Feda,Kidd,Morton,R,C,.,L,,W,2010
VA,U.S. Representative,2,Jessica,,Sandlin,R,C,.,L,,W,2010
VA,U.S. Representative,1,Krystal,,Ball,D,C,C,W,L,W,2010
VA,U.S. Representative,1,Catherine,,Crabill,R,CP,.,L,,W,2010
WA,U.S. Representative,8,Suzan,,DelBene,D,C,C,W,L,W,2010
WA,U.S. Representative,5,Barbara,,Lampert,D,C,.,L,,W,2010
WA,U.S. Representative,5,Cathy,,McMorris Rodgers,R,I,I,W,W,W,2010
WA,U.S. Representative,3,Jaime,,Herrera Beutler,R,O,O,W,W,H,2010
WA,U.S. Representative,3,Cheryl,A.,Crist,D,O,.,L,,W,2010
WA,U.S. Representative,2,Diana,,McGinness,D,CP,.,L,,W,2010
WA,U.S. Senator,,Norma,D.,Gruber,R,C,.,L,,,2010
WA,U.S. Senator,,Patty,,Murray,D,I,I,W,W,W,2010
WI,U.S. Representative,8,Terri,,McCormick,R,C,.,L,,W,2010
WI,U.S. Representative,7,Julie,M.,Lassa,D,O,O,W,L,W,2010
WI,U.S. Representative,4,Gwendolynne,S.,Moore,D,I,I,W,W,B,2010
WI,U.S. Representative,2,Tammy,,Baldwin,D,I,I,W,W,W,2010
WV,U.S. Senator,,Sheirl,Lee,Fletcher,D,O,.,L,.,W,2010
WV,U.S. Representative,2,Virginia,Lynch,Graf,D,C,C,W,L,W,2010
WV,U.S. Representative,2,Shelley,Moore,Capito,R,I,I,W,W,W,2010
