"","FEC_ID","Year","X.x","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","X_first_score","X_second_score","total_spent","STATE.ABBREVIATION","DISTRICT","X.1","candidate.last","X.y","X1","STATE","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman","Total population","18 years and over","Under 20","20 to 44 years","45 to 64 years","Over 65","Median age (years)","White","Black or African American","American Indian and Alaska Native","Asian","Native Hawaiian and Other Pacific Islander","Some other race","Two or more races","Hispanic or Latino (of any race)","Born in United States","Foreign born","Percent Over 16 In labor force","Unemployment Rate","Median (dollars)","Median household income (dollars)","Mean household income (dollars)","All people","Percent high school graduate or higher","Percent bachelor's degree or higher"
"35","H0CA49089",2010,435,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,72,"CA","49",949,"Katz",776,777,"California","","Howard","Katz, Howard",NA,"D","25,948","100.00%","","","59,714","31.48%",0,0.374564166,0.463288625,0.514279391,0.433748318,0.623422432,0.272029282,0.377289377,0.802946104,0.026062325,0.03759533,0.116022105,0.03349922,0.084476835,0.206200533,0.304064827,0.69326997,0.289028894,0.76088745,0.345238095,0.440910301,0.582991024,0.546586338,0.080906149,0.834183673,0.594551282
"36","H0CT01076",2010,437,0.198992224490682,0,0,0.757569175969767,0.0434385995395508,0,0,0,0,0,0,0.0863426111933415,0.0398071313321314,23021,"CT","01",1627,"Brickley",9381,939,"Connecticut","","Ann","Brickley, Ann",NA,"R","11,438","59.48%","","","84,076","37.20%",1,0.322239996,0.560439707,0.445428091,0.388366001,0.734773644,0.318080577,0.446886447,0.642209778,0.221770926,0.013764457,0.092758199,0.005536752,0.174860358,0.159851968,0.184337374,0.66716092,0.252340713,0.75734325,0.321428571,0.101211073,0.375619115,0.300093445,0.233009709,0.846938776,0.456730769
"37","H0DE01017",2010,815,0,0,0,0,1,0,0,0,0,0,0,0.562692702510835,-0.726381030143576,85,"DE","00",1813,"Carney",1023,1024,"Delaware","","John C., Jr.","Carney, John C., Jr.",NA,"D","Unopposed","","","","173,543","56.78%",0,0.823879529,0.541036627,0.464289408,0.351264772,0.635191132,0.379725509,0.465201465,0.642026214,0.330351891,0.018687778,0.059573133,0.00321643,0.063160045,0.095306811,0.09776383,0.815967458,0.160351572,0.631005268,0.285714286,0.117181262,0.33060331,0.261664722,0.252427184,0.841836735,0.370192308
"38","H0FL02094",2010,438,0.959341723136496,0,0,0,0.0406582768635044,0,0,0,0,0,0,-0.627887697454884,-0.0937916911494677,2066,"FL","02",2104,"McKain",1076,1077,"Florida","","Paul C.","McKain, Paul C.",NA,"NPA","","","","","7,135","2.80%",0,0.354936115,0.59810908,0.43156314,0.313690029,0.673461158,0.422520553,0.512820513,0.809289269,0.181357922,0.008812921,0.028489387,0.015269715,0.031936038,0.068768572,0.063384252,0.892687782,0.081442561,0.359414161,0.297619048,0.056494544,0.194617712,0.144544468,0.326860841,0.780612245,0.232371795
"39","H0FL06087",2010,439,0.975306203081786,0,0.0246937969182141,0,0,0,0,0,0,0,0,-0.653586475062878,-0.0602040802466136,10124,"FL","06",1899,"Browning",11041,1105,"Florida","","Don","Browning, Don",NA,"R","20,111","28.51%","","","","",0,0.484093104,0.708042511,0.282880406,0.199790248,0.750639994,0.602653364,0.714285714,0.790954056,0.154930671,0.007662133,0.025544364,0.008054269,0.129931593,0.071522821,0.140604605,0.810749114,0.134564926,0.380250032,0.19047619,0.087836039,0.204709502,0.148955558,0.297734628,0.867346939,0.235576923
"40","H0FL08208",2010,440,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,2246,"FL","08",2273,"Webster",11131,1114,"Florida","","Daniel","Webster, Daniel",NA,"R","24,753","40.19%","","","123,586","56.11%",0,0.464780169,0.696209774,0.28076647,0.194290966,0.769365924,0.601748762,0.717948718,0.829701574,0.126913473,0.009452167,0.031895333,0.005844635,0.048340776,0.125202965,0.12290046,0.801768272,0.146329949,0.390805105,0.404761905,0.097151983,0.233945264,0.194378181,0.194174757,0.887755102,0.326923077
"41","H0FL17118",2010,441,0.0140845070422535,0,0.140845070422535,0,0,0,0,0,0,0.845070422535211,0,0.385853779363457,0.545135378039932,3550,"FL","17",2127,"Moise",11811,1182,"Florida","","Rudolph ""Rudy""","Moise, Rudolph ""Rudy""",NA,"D","7,986","16.15%","","","","",0,0.51059811,0.762919173,0.216527594,0.082084974,0.554985455,0.838429701,0.879120879,0.866435004,0.104964167,0.01689695,0.014431825,0.002718893,0.085605839,0.042075815,0.179636271,0.786262797,0.178091941,0.130527192,0.321428571,0.078719723,0.191287591,0.148299699,0.297734628,0.793367347,0.206730769
"42","H0FL17126",2010,816,0,0,0,0,1,0,0,0,0,0,0,0.562692702510835,-0.726381030143576,25,"FL","17",1995,"Galvin",11861,1187,"Florida","","Scott","Galvin, Scott",NA,"D","2,750","5.56%","","","","",0,0.51059811,0.762919173,0.216527594,0.082084974,0.554985455,0.838429701,0.879120879,0.866435004,0.104964167,0.01689695,0.014431825,0.002718893,0.085605839,0.042075815,0.179636271,0.786262797,0.178091941,0.130527192,0.321428571,0.078719723,0.191287591,0.148299699,0.297734628,0.793367347,0.206730769
"43","H0FL19072",2010,442,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,6785,"FL","19",1909,"Budd",1198,1199,"Florida","","Joe","Budd, Joe",NA,"R","Unopposed","","","","78,733","37.30%",0,0.562979742,0.795224582,0.185100989,0.124721856,0.528187466,0.831342132,0.853479853,0.856903991,0.108446959,0.00494121,0.026171788,0.008354352,0.097629691,0.027665358,0.221112445,0.667908936,0.292427141,0.28526061,0.19047619,0.128959276,0.308813834,0.336490745,0.213592233,0.829081633,0.379807692
"44","H0FL19080",2012,938,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,1000,"FL","21",1954,"Deutch",9472,948,"Florida","(I)","Ted ","Deutch, Ted ",NA,"D","Unopposed","","","","221,263","77.80%",0,0.47688435,0.711934353,0.270474209,0.249573488,0.576107437,0.635024385,0.67032967,0.724688986,0.235976045,0.017935089,0.041044406,0,0.09350829,0.081036064,0.277082386,0.477459138,0.505936447,0.535417426,0.226190476,0.134948097,0.290185439,0.290505128,0.223300971,0.803571429,0.432692308
"45","H0FL19080",2014,1467,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,1000,"FL","21",1955,"Deutch",682,683,"Florida","(I)","Ted","Deutch, Ted",NA,"D","31,080","91.61%","","","153,395","99.63%",0,0.47688435,0.711934353,0.270474209,0.249573488,0.576107437,0.635024385,0.67032967,0.724688986,0.235976045,0.017935089,0.041044406,0,0.09350829,0.081036064,0.277082386,0.477459138,0.505936447,0.535417426,0.226190476,0.134948097,0.290185439,0.290505128,0.223300971,0.803571429,0.432692308
